AX: -1.20, AY: -4.36, AZ: 0.00, GX: -3014.00, GY: 755.00, GZ: 32767.00

AX: -1.02, AY: -3.92, AZ: -0.00, GX: -3001.00, GY: 749.00, GZ: 32767.00

AX: -0.66, AY: -3.54, AZ: -0.01, GX: -2983.00, GY: 746.00, GZ: 32767.00

AX: -0.11, AY: -3.42, AZ: -0.00, GX: -2970.00, GY: 722.00, GZ: 32767.00

AX: 0.41, AY: -3.56, AZ: 0.01, GX: -2969.00, GY: 713.00, GZ: 32767.00

AX: 0.71, AY: -3.94, AZ: 0.02, GX: -2981.00, GY: 718.00, GZ: 32767.00

AX: 0.84, AY: -4.42, AZ: -0.01, GX: -2981.00, GY: 742.00, GZ: 32767.00

AX: 0.67, AY: -4.90, AZ: -0.02, GX: -2980.00, GY: 759.00, GZ: 32767.00

AX: 0.34, AY: -5.26, AZ: -0.04, GX: -2961.00, GY: 756.00, GZ: 32767.00

AX: -0.18, AY: -5.41, AZ: -0.09, GX: -2964.00, GY: 748.00, GZ: 32767.00

AX: -0.68, AY: -5.28, AZ: -0.06, GX: -2975.00, GY: 736.00, GZ: 32767.00

AX: -1.05, AY: -4.78, AZ: -0.07, GX: -3006.00, GY: 735.00, GZ: 32767.00

AX: -1.16, AY: -4.25, AZ: -0.01, GX: -3010.00, GY: 749.00, GZ: 32767.00

AX: -1.00, AY: -3.74, AZ: 0.01, GX: -2993.00, GY: 744.00, GZ: 32767.00

AX: -0.54, AY: -3.45, AZ: 0.01, GX: -2978.00, GY: 741.00, GZ: 32767.00

AX: -0.01, AY: -3.43, AZ: -0.02, GX: -2966.00, GY: 720.00, GZ: 32767.00

AX: 0.47, AY: -3.69, AZ: -0.04, GX: -2977.00, GY: 706.00, GZ: 32767.00

AX: 0.77, AY: -4.13, AZ: -0.04, GX: -2986.00, GY: 726.00, GZ: 32767.00

AX: 0.82, AY: -4.65, AZ: -0.01, GX: -2982.00, GY: 746.00, GZ: 32767.00

AX: 0.63, AY: -5.09, AZ: 0.01, GX: -2967.00, GY: 766.00, GZ: 32767.00

AX: 0.24, AY: -5.37, AZ: 0.02, GX: -2965.00, GY: 757.00, GZ: 32767.00

AX: -0.29, AY: -5.38, AZ: 0.02, GX: -2966.00, GY: 745.00, GZ: 32767.00

AX: -0.75, AY: -5.14, AZ: -0.02, GX: -2983.00, GY: 734.00, GZ: 32767.00

AX: -1.10, AY: -4.67, AZ: -0.04, GX: -3007.00, GY: 742.00, GZ: 32767.00

AX: -1.17, AY: -4.10, AZ: -0.04, GX: -3007.00, GY: 748.00, GZ: 32767.00

