AX: -0.23, AY: 0.73, AZ: -0.05, GX: -935.00, GY: 116.00, GZ: 23636.00

AX: -0.13, AY: 0.75, AZ: -0.04, GX: -935.00, GY: 112.00, GZ: 23640.00

AX: 0.00, AY: 0.74, AZ: -0.04, GX: -936.00, GY: 109.00, GZ: 23644.00

AX: 0.11, AY: 0.75, AZ: -0.05, GX: -930.00, GY: 115.00, GZ: 23646.00

AX: 0.25, AY: 0.71, AZ: -0.04, GX: -936.00, GY: 107.00, GZ: 23646.00

AX: 0.35, AY: 0.67, AZ: -0.03, GX: -936.00, GY: 110.00, GZ: 23643.00

AX: 0.47, AY: 0.62, AZ: -0.03, GX: -932.00, GY: 113.00, GZ: 23640.00

AX: 0.59, AY: 0.54, AZ: -0.03, GX: -935.00, GY: 108.00, GZ: 23640.00

AX: 0.66, AY: 0.47, AZ: -0.02, GX: -932.00, GY: 106.00, GZ: 23636.00

AX: 0.77, AY: 0.37, AZ: -0.02, GX: -934.00, GY: 111.00, GZ: 23638.00

AX: 0.87, AY: 0.26, AZ: -0.02, GX: -931.00, GY: 108.00, GZ: 23631.00

AX: 0.92, AY: 0.17, AZ: -0.02, GX: -930.00, GY: 111.00, GZ: 23627.00

AX: 0.95, AY: 0.04, AZ: -0.01, GX: -924.00, GY: 110.00, GZ: 23621.00

AX: 0.97, AY: -0.08, AZ: -0.00, GX: -928.00, GY: 118.00, GZ: 23627.00

AX: 1.00, AY: -0.20, AZ: -0.01, GX: -935.00, GY: 110.00, GZ: 23608.00

AX: 0.98, AY: -0.34, AZ: -0.01, GX: -934.00, GY: 114.00, GZ: 23618.00

AX: 0.97, AY: -0.46, AZ: -0.01, GX: -932.00, GY: 115.00, GZ: 23614.00

AX: 0.93, AY: -0.56, AZ: -0.01, GX: -932.00, GY: 117.00, GZ: 23610.00

AX: 0.89, AY: -0.71, AZ: -0.01, GX: -933.00, GY: 113.00, GZ: 23620.00

AX: 0.82, AY: -0.80, AZ: -0.01, GX: -930.00, GY: 111.00, GZ: 23611.00

AX: 0.75, AY: -0.89, AZ: -0.01, GX: -929.00, GY: 111.00, GZ: 23603.00

AX: 0.64, AY: -0.99, AZ: -0.01, GX: -928.00, GY: 117.00, GZ: 23614.00

AX: 0.57, AY: -1.07, AZ: -0.01, GX: -936.00, GY: 116.00, GZ: 23617.00

AX: 0.47, AY: -1.13, AZ: -0.03, GX: -929.00, GY: 110.00, GZ: 23615.00

AX: 0.33, AY: -1.18, AZ: -0.02, GX: -926.00, GY: 122.00, GZ: 23617.00

AX: 0.23, AY: -1.20, AZ: -0.02, GX: -922.00, GY: 118.00, GZ: 23627.00

AX: 0.10, AY: -1.26, AZ: -0.03, GX: -931.00, GY: 121.00, GZ: 23623.00

AX: -0.04, AY: -1.25, AZ: -0.04, GX: -939.00, GY: 122.00, GZ: 23628.00

AX: -0.14, AY: -1.22, AZ: -0.03, GX: -926.00, GY: 111.00, GZ: 23623.00

AX: -0.28, AY: -1.21, AZ: -0.04, GX: -936.00, GY: 112.00, GZ: 23628.00

AX: -0.41, AY: -1.18, AZ: -0.05, GX: -939.00, GY: 124.00, GZ: 23621.00

AX: -0.50, AY: -1.11, AZ: -0.04, GX: -935.00, GY: 115.00, GZ: 23619.00

AX: -0.61, AY: -1.02, AZ: -0.05, GX: -933.00, GY: 117.00, GZ: 23631.00

AX: -0.71, AY: -0.95, AZ: -0.05, GX: -940.00, GY: 114.00, GZ: 23624.00

AX: -0.79, AY: -0.85, AZ: -0.06, GX: -934.00, GY: 121.00, GZ: 23623.00

AX: -0.85, AY: -0.73, AZ: -0.05, GX: -932.00, GY: 115.00, GZ: 23626.00

AX: -0.91, AY: -0.63, AZ: -0.06, GX: -931.00, GY: 119.00, GZ: 23627.00

AX: -0.97, AY: -0.53, AZ: -0.06, GX: -943.00, GY: 116.00, GZ: 23626.00

AX: -1.00, AY: -0.39, AZ: -0.07, GX: -935.00, GY: 122.00, GZ: 23624.00

AX: -0.99, AY: -0.27, AZ: -0.06, GX: -932.00, GY: 113.00, GZ: 23621.00

AX: -1.01, AY: -0.14, AZ: -0.07, GX: -941.00, GY: 114.00, GZ: 23628.00

AX: -0.99, AY: -0.03, AZ: -0.08, GX: -938.00, GY: 112.00, GZ: 23619.00

AX: -0.96, AY: 0.10, AZ: -0.07, GX: -935.00, GY: 119.00, GZ: 23631.00

AX: -0.90, AY: 0.22, AZ: -0.07, GX: -935.00, GY: 113.00, GZ: 23631.00

AX: -0.86, AY: 0.32, AZ: -0.08, GX: -937.00, GY: 115.00, GZ: 23633.00

AX: -0.77, AY: 0.41, AZ: -0.07, GX: -939.00, GY: 117.00, GZ: 23634.00

AX: -0.67, AY: 0.52, AZ: -0.06, GX: -932.00, GY: 111.00, GZ: 23637.00

AX: -0.58, AY: 0.58, AZ: -0.06, GX: -940.00, GY: 112.00, GZ: 23642.00

AX: -0.49, AY: 0.64, AZ: -0.06, GX: -939.00, GY: 112.00, GZ: 23643.00

AX: -0.35, AY: 0.70, AZ: -0.05, GX: -932.00, GY: 113.00, GZ: 23644.00

AX: -0.25, AY: 0.73, AZ: -0.05, GX: -930.00, GY: 109.00, GZ: 23644.00

AX: -0.12, AY: 0.75, AZ: -0.05, GX: -938.00, GY: 114.00, GZ: 23650.00

AX: 0.01, AY: 0.74, AZ: -0.05, GX: -940.00, GY: 115.00, GZ: 23651.00

AX: 0.12, AY: 0.74, AZ: -0.05, GX: -935.00, GY: 114.00, GZ: 23645.00

AX: 0.26, AY: 0.71, AZ: -0.03, GX: -933.00, GY: 105.00, GZ: 23654.00

AX: 0.36, AY: 0.66, AZ: -0.03, GX: -942.00, GY: 111.00, GZ: 23653.00

AX: 0.47, AY: 0.62, AZ: -0.02, GX: -933.00, GY: 112.00, GZ: 23645.00

AX: 0.60, AY: 0.53, AZ: -0.03, GX: -933.00, GY: 111.00, GZ: 23650.00

AX: 0.68, AY: 0.46, AZ: -0.01, GX: -929.00, GY: 107.00, GZ: 23643.00

AX: 0.76, AY: 0.36, AZ: -0.02, GX: -931.00, GY: 113.00, GZ: 23642.00

AX: 0.86, AY: 0.25, AZ: -0.01, GX: -936.00, GY: 113.00, GZ: 23636.00

AX: 0.91, AY: 0.16, AZ: -0.01, GX: -927.00, GY: 111.00, GZ: 23643.00

AX: 0.96, AY: 0.02, AZ: -0.01, GX: -928.00, GY: 112.00, GZ: 23639.00

AX: 0.96, AY: -0.09, AZ: -0.01, GX: -931.00, GY: 119.00, GZ: 23643.00

AX: 1.00, AY: -0.21, AZ: -0.01, GX: -929.00, GY: 114.00, GZ: 23637.00

AX: 0.98, AY: -0.35, AZ: -0.00, GX: -929.00, GY: 114.00, GZ: 23646.00

AX: 0.97, AY: -0.48, AZ: -0.00, GX: -936.00, GY: 110.00, GZ: 23645.00

AX: 0.92, AY: -0.57, AZ: 0.00, GX: -926.00, GY: 117.00, GZ: 23640.00

AX: 0.88, AY: -0.71, AZ: -0.01, GX: -928.00, GY: 119.00, GZ: 23650.00

AX: 0.82, AY: -0.81, AZ: -0.02, GX: -934.00, GY: 114.00, GZ: 23651.00

AX: 0.75, AY: -0.91, AZ: -0.01, GX: -930.00, GY: 113.00, GZ: 23651.00

AX: 0.64, AY: -1.00, AZ: -0.02, GX: -930.00, GY: 119.00, GZ: 23651.00

