AX: -0.50, AY: 0.85, AZ: -0.06, GX: -294.00, GY: -21.00, GZ: 2924.00

AX: -0.49, AY: 0.86, AZ: -0.06, GX: -293.00, GY: -15.00, GZ: 2920.00

AX: -0.48, AY: 0.89, AZ: -0.06, GX: -286.00, GY: -20.00, GZ: 2915.00

AX: -0.47, AY: 0.88, AZ: -0.06, GX: -295.00, GY: -17.00, GZ: 2916.00

AX: -0.45, AY: 0.89, AZ: -0.06, GX: -294.00, GY: -21.00, GZ: 2907.00

AX: -0.44, AY: 0.90, AZ: -0.06, GX: -292.00, GY: -19.00, GZ: 2912.00

AX: -0.43, AY: 0.92, AZ: -0.05, GX: -292.00, GY: -23.00, GZ: 2918.00

AX: -0.41, AY: 0.91, AZ: -0.05, GX: -295.00, GY: -16.00, GZ: 2929.00

AX: -0.40, AY: 0.91, AZ: -0.06, GX: -295.00, GY: -21.00, GZ: 2936.00

AX: -0.38, AY: 0.92, AZ: -0.05, GX: -292.00, GY: -20.00, GZ: 2944.00

AX: -0.37, AY: 0.93, AZ: -0.05, GX: -292.00, GY: -22.00, GZ: 2952.00

AX: -0.35, AY: 0.93, AZ: -0.05, GX: -295.00, GY: -19.00, GZ: 2957.00

AX: -0.33, AY: 0.93, AZ: -0.06, GX: -300.00, GY: -20.00, GZ: 2956.00

AX: -0.32, AY: 0.95, AZ: -0.05, GX: -293.00, GY: -20.00, GZ: 2952.00

AX: -0.30, AY: 0.96, AZ: -0.05, GX: -295.00, GY: -21.00, GZ: 2953.00

AX: -0.29, AY: 0.95, AZ: -0.05, GX: -296.00, GY: -14.00, GZ: 2955.00

AX: -0.27, AY: 0.95, AZ: -0.05, GX: -295.00, GY: -19.00, GZ: 2959.00

AX: -0.26, AY: 0.96, AZ: -0.05, GX: -294.00, GY: -14.00, GZ: 2966.00

AX: -0.24, AY: 0.97, AZ: -0.05, GX: -294.00, GY: -21.00, GZ: 2969.00

AX: -0.23, AY: 0.96, AZ: -0.05, GX: -299.00, GY: -17.00, GZ: 2967.00

AX: -0.21, AY: 0.97, AZ: -0.05, GX: -297.00, GY: -19.00, GZ: 2973.00

AX: -0.19, AY: 0.98, AZ: -0.04, GX: -290.00, GY: -17.00, GZ: 2970.00

AX: -0.18, AY: 0.98, AZ: -0.05, GX: -293.00, GY: -20.00, GZ: 2978.00

AX: -0.17, AY: 0.98, AZ: -0.05, GX: -298.00, GY: -18.00, GZ: 2978.00

AX: -0.15, AY: 0.98, AZ: -0.06, GX: -294.00, GY: -18.00, GZ: 2982.00

AX: -0.14, AY: 0.98, AZ: -0.05, GX: -295.00, GY: -17.00, GZ: 2980.00

AX: -0.12, AY: 0.99, AZ: -0.05, GX: -290.00, GY: -18.00, GZ: 2983.00

AX: -0.11, AY: 0.99, AZ: -0.05, GX: -298.00, GY: -17.00, GZ: 2985.00

AX: -0.09, AY: 0.99, AZ: -0.05, GX: -294.00, GY: -20.00, GZ: 2989.00

AX: -0.07, AY: 0.99, AZ: -0.05, GX: -295.00, GY: -18.00, GZ: 2997.00

AX: -0.05, AY: 1.00, AZ: -0.04, GX: -296.00, GY: -21.00, GZ: 3012.00

AX: -0.05, AY: 0.99, AZ: -0.05, GX: -292.00, GY: -20.00, GZ: 3019.00

AX: -0.02, AY: 0.99, AZ: -0.05, GX: -294.00, GY: -19.00, GZ: 3020.00

AX: -0.01, AY: 0.99, AZ: -0.05, GX: -294.00, GY: -21.00, GZ: 3024.00

AX: 0.01, AY: 0.99, AZ: -0.05, GX: -292.00, GY: -20.00, GZ: 3018.00

AX: 0.03, AY: 0.99, AZ: -0.04, GX: -299.00, GY: -17.00, GZ: 3015.00

AX: 0.04, AY: 0.99, AZ: -0.04, GX: -292.00, GY: -14.00, GZ: 3015.00

AX: 0.06, AY: 0.99, AZ: -0.04, GX: -294.00, GY: -20.00, GZ: 3014.00

AX: 0.07, AY: 0.99, AZ: -0.04, GX: -293.00, GY: -18.00, GZ: 3012.00

AX: 0.09, AY: 0.99, AZ: -0.04, GX: -296.00, GY: -22.00, GZ: 3012.00

AX: 0.11, AY: 0.98, AZ: -0.04, GX: -294.00, GY: -19.00, GZ: 3011.00

AX: 0.12, AY: 0.98, AZ: -0.04, GX: -295.00, GY: -15.00, GZ: 3011.00

AX: 0.14, AY: 0.99, AZ: -0.04, GX: -297.00, GY: -19.00, GZ: 3008.00

AX: 0.15, AY: 0.98, AZ: -0.04, GX: -299.00, GY: -21.00, GZ: 3009.00

AX: 0.17, AY: 0.98, AZ: -0.03, GX: -294.00, GY: -17.00, GZ: 3008.00

AX: 0.19, AY: 0.98, AZ: -0.04, GX: -292.00, GY: -23.00, GZ: 3004.00

AX: 0.20, AY: 0.97, AZ: -0.04, GX: -293.00, GY: -23.00, GZ: 3006.00

AX: 0.21, AY: 0.97, AZ: -0.04, GX: -298.00, GY: -21.00, GZ: 3004.00

AX: 0.23, AY: 0.96, AZ: -0.04, GX: -300.00, GY: -18.00, GZ: 2999.00

AX: 0.25, AY: 0.96, AZ: -0.04, GX: -293.00, GY: -16.00, GZ: 3004.00

AX: 0.26, AY: 0.95, AZ: -0.03, GX: -301.00, GY: -22.00, GZ: 3006.00

AX: 0.28, AY: 0.95, AZ: -0.03, GX: -296.00, GY: -19.00, GZ: 3017.00

AX: 0.29, AY: 0.95, AZ: -0.03, GX: -295.00, GY: -23.00, GZ: 3024.00

AX: 0.31, AY: 0.94, AZ: -0.03, GX: -294.00, GY: -19.00, GZ: 3034.00

AX: 0.32, AY: 0.94, AZ: -0.02, GX: -292.00, GY: -18.00, GZ: 3036.00

AX: 0.33, AY: 0.93, AZ: -0.03, GX: -294.00, GY: -18.00, GZ: 3036.00

AX: 0.35, AY: 0.92, AZ: -0.04, GX: -297.00, GY: -16.00, GZ: 3033.00

AX: 0.37, AY: 0.91, AZ: -0.03, GX: -291.00, GY: -19.00, GZ: 3031.00

AX: 0.38, AY: 0.91, AZ: -0.03, GX: -292.00, GY: -21.00, GZ: 3026.00

AX: 0.40, AY: 0.91, AZ: -0.03, GX: -297.00, GY: -18.00, GZ: 3028.00

AX: 0.41, AY: 0.90, AZ: -0.03, GX: -301.00, GY: -19.00, GZ: 3030.00

AX: 0.42, AY: 0.89, AZ: -0.03, GX: -290.00, GY: -19.00, GZ: 3031.00

AX: 0.44, AY: 0.88, AZ: -0.03, GX: -295.00, GY: -22.00, GZ: 3028.00

AX: 0.46, AY: 0.87, AZ: -0.02, GX: -300.00, GY: -21.00, GZ: 3029.00

AX: 0.47, AY: 0.87, AZ: -0.03, GX: -297.00, GY: -19.00, GZ: 3027.00

AX: 0.49, AY: 0.86, AZ: -0.02, GX: -298.00, GY: -19.00, GZ: 3025.00

AX: 0.50, AY: 0.86, AZ: -0.03, GX: -293.00, GY: -21.00, GZ: 3022.00

AX: 0.51, AY: 0.85, AZ: -0.02, GX: -297.00, GY: -17.00, GZ: 3015.00

AX: 0.52, AY: 0.84, AZ: -0.04, GX: -300.00, GY: -18.00, GZ: 3014.00

AX: 0.54, AY: 0.83, AZ: -0.03, GX: -294.00, GY: -15.00, GZ: 3008.00

AX: 0.56, AY: 0.82, AZ: -0.02, GX: -290.00, GY: -20.00, GZ: 3005.00

AX: 0.56, AY: 0.81, AZ: -0.03, GX: -294.00, GY: -23.00, GZ: 3002.00

AX: 0.58, AY: 0.80, AZ: -0.03, GX: -291.00, GY: -16.00, GZ: 3004.00

AX: 0.59, AY: 0.79, AZ: -0.02, GX: -296.00, GY: -20.00, GZ: 3005.00

AX: 0.61, AY: 0.78, AZ: -0.02, GX: -294.00, GY: -21.00, GZ: 3008.00

AX: 0.61, AY: 0.77, AZ: -0.02, GX: -300.00, GY: -18.00, GZ: 3013.00

