AX: 1.02, AY: -0.81, AZ: -0.04, GX: -1471.00, GY: 234.00, GZ: 32767.00

AX: 0.99, AY: -0.96, AZ: 0.02, GX: -1465.00, GY: 236.00, GZ: 32767.00

AX: 0.86, AY: -1.19, AZ: 0.02, GX: -1459.00, GY: 242.00, GZ: 32767.00

AX: 0.77, AY: -1.36, AZ: -0.03, GX: -1450.00, GY: 236.00, GZ: 32767.00

AX: 0.64, AY: -1.49, AZ: -0.03, GX: -1451.00, GY: 241.00, GZ: 32767.00

AX: 0.45, AY: -1.63, AZ: -0.02, GX: -1463.00, GY: 244.00, GZ: 32767.00

AX: 0.22, AY: -1.74, AZ: -0.02, GX: -1473.00, GY: 238.00, GZ: 32767.00

AX: 0.02, AY: -1.74, AZ: -0.01, GX: -1451.00, GY: 241.00, GZ: 32767.00

AX: -0.17, AY: -1.71, AZ: -0.02, GX: -1449.00, GY: 244.00, GZ: 32767.00

AX: -0.40, AY: -1.66, AZ: -0.10, GX: -1470.00, GY: 246.00, GZ: 32767.00

AX: -0.62, AY: -1.52, AZ: -0.08, GX: -1470.00, GY: 243.00, GZ: 32767.00

AX: -0.77, AY: -1.43, AZ: 0.00, GX: -1475.00, GY: 239.00, GZ: 32767.00

AX: -0.85, AY: -1.23, AZ: -0.01, GX: -1455.00, GY: 237.00, GZ: 32767.00

AX: -0.96, AY: -0.97, AZ: -0.12, GX: -1468.00, GY: 243.00, GZ: 32767.00

AX: -1.01, AY: -0.80, AZ: -0.12, GX: -1470.00, GY: 247.00, GZ: 32767.00

AX: -0.99, AY: -0.56, AZ: -0.03, GX: -1466.00, GY: 237.00, GZ: 32767.00

AX: -0.95, AY: -0.35, AZ: -0.02, GX: -1467.00, GY: 239.00, GZ: 32767.00

AX: -0.86, AY: -0.15, AZ: -0.10, GX: -1475.00, GY: 242.00, GZ: 32767.00

AX: -0.70, AY: -0.00, AZ: -0.09, GX: -1479.00, GY: 232.00, GZ: 32767.00

AX: -0.54, AY: 0.16, AZ: -0.05, GX: -1458.00, GY: 236.00, GZ: 32767.00

AX: -0.31, AY: 0.22, AZ: -0.03, GX: -1469.00, GY: 238.00, GZ: 32767.00

AX: -0.13, AY: 0.23, AZ: -0.03, GX: -1473.00, GY: 234.00, GZ: 32767.00

