AX: 0.56, AY: -0.85, AZ: -0.02, GX: -378.00, GY: -3.00, GZ: 5619.00

AX: 0.53, AY: -0.85, AZ: -0.01, GX: -376.00, GY: -3.00, GZ: 5619.00

AX: 0.51, AY: -0.87, AZ: -0.03, GX: -374.00, GY: -2.00, GZ: 5619.00

AX: 0.48, AY: -0.90, AZ: -0.02, GX: -380.00, GY: 1.00, GZ: 5622.00

AX: 0.46, AY: -0.91, AZ: -0.02, GX: -378.00, GY: -3.00, GZ: 5624.00

AX: 0.43, AY: -0.91, AZ: -0.02, GX: -372.00, GY: 0.00, GZ: 5626.00

AX: 0.41, AY: -0.93, AZ: -0.03, GX: -373.00, GY: -1.00, GZ: 5632.00

AX: 0.37, AY: -0.95, AZ: -0.02, GX: -380.00, GY: -3.00, GZ: 5641.00

AX: 0.35, AY: -0.96, AZ: -0.02, GX: -377.00, GY: 10.00, GZ: 5647.00

AX: 0.32, AY: -0.96, AZ: -0.02, GX: -376.00, GY: -1.00, GZ: 5649.00

AX: 0.29, AY: -0.97, AZ: -0.03, GX: -379.00, GY: -2.00, GZ: 5649.00

AX: 0.25, AY: -0.98, AZ: -0.02, GX: -379.00, GY: 3.00, GZ: 5654.00

AX: 0.24, AY: -0.99, AZ: -0.02, GX: -378.00, GY: -1.00, GZ: 5656.00

AX: 0.21, AY: -0.99, AZ: -0.03, GX: -372.00, GY: -2.00, GZ: 5662.00

AX: 0.17, AY: -1.00, AZ: -0.02, GX: -376.00, GY: -2.00, GZ: 5662.00

AX: 0.14, AY: -1.01, AZ: -0.03, GX: -377.00, GY: 0.00, GZ: 5665.00

AX: 0.12, AY: -1.01, AZ: -0.03, GX: -376.00, GY: 0.00, GZ: 5670.00

AX: 0.08, AY: -1.01, AZ: -0.03, GX: -376.00, GY: -2.00, GZ: 5664.00

AX: 0.06, AY: -1.02, AZ: -0.04, GX: -378.00, GY: -3.00, GZ: 5676.00

AX: 0.02, AY: -1.02, AZ: -0.03, GX: -378.00, GY: 3.00, GZ: 5685.00

AX: -0.01, AY: -1.02, AZ: -0.03, GX: -374.00, GY: 0.00, GZ: 5686.00

AX: -0.04, AY: -1.02, AZ: -0.03, GX: -377.00, GY: 0.00, GZ: 5680.00

AX: -0.06, AY: -1.01, AZ: -0.04, GX: -376.00, GY: 0.00, GZ: 5679.00

AX: -0.10, AY: -1.02, AZ: -0.03, GX: -380.00, GY: 1.00, GZ: 5676.00

AX: -0.12, AY: -1.02, AZ: -0.04, GX: -380.00, GY: -1.00, GZ: 5677.00

AX: -0.16, AY: -1.00, AZ: -0.04, GX: -378.00, GY: -2.00, GZ: 5674.00

AX: -0.18, AY: -1.00, AZ: -0.03, GX: -374.00, GY: 0.00, GZ: 5675.00

AX: -0.21, AY: -1.00, AZ: -0.03, GX: -378.00, GY: -4.00, GZ: 5667.00

AX: -0.24, AY: -0.99, AZ: -0.04, GX: -378.00, GY: 3.00, GZ: 5665.00

AX: -0.28, AY: -0.98, AZ: -0.04, GX: -376.00, GY: -1.00, GZ: 5667.00

AX: -0.30, AY: -0.97, AZ: -0.04, GX: -380.00, GY: -2.00, GZ: 5669.00

AX: -0.34, AY: -0.97, AZ: -0.04, GX: -375.00, GY: 1.00, GZ: 5675.00

AX: -0.36, AY: -0.95, AZ: -0.05, GX: -381.00, GY: 0.00, GZ: 5664.00

AX: -0.40, AY: -0.94, AZ: -0.04, GX: -377.00, GY: 1.00, GZ: 5665.00

AX: -0.43, AY: -0.93, AZ: -0.05, GX: -380.00, GY: -2.00, GZ: 5656.00

AX: -0.44, AY: -0.92, AZ: -0.04, GX: -380.00, GY: -3.00, GZ: 5659.00

AX: -0.47, AY: -0.90, AZ: -0.05, GX: -378.00, GY: -1.00, GZ: 5657.00

AX: -0.50, AY: -0.89, AZ: -0.04, GX: -375.00, GY: 2.00, GZ: 5656.00

AX: -0.52, AY: -0.88, AZ: -0.05, GX: -380.00, GY: 2.00, GZ: 5652.00

AX: -0.55, AY: -0.86, AZ: -0.04, GX: -377.00, GY: -2.00, GZ: 5646.00

AX: -0.58, AY: -0.84, AZ: -0.05, GX: -380.00, GY: 3.00, GZ: 5651.00

AX: -0.60, AY: -0.82, AZ: -0.05, GX: -378.00, GY: 1.00, GZ: 5652.00

AX: -0.62, AY: -0.81, AZ: -0.06, GX: -377.00, GY: 0.00, GZ: 5655.00

AX: -0.65, AY: -0.78, AZ: -0.05, GX: -378.00, GY: 2.00, GZ: 5655.00

AX: -0.67, AY: -0.77, AZ: -0.06, GX: -379.00, GY: 0.00, GZ: 5652.00

AX: -0.70, AY: -0.74, AZ: -0.06, GX: -377.00, GY: -1.00, GZ: 5647.00

AX: -0.72, AY: -0.72, AZ: -0.06, GX: -378.00, GY: 0.00, GZ: 5648.00

AX: -0.73, AY: -0.71, AZ: -0.05, GX: -379.00, GY: 0.00, GZ: 5651.00

AX: -0.76, AY: -0.68, AZ: -0.06, GX: -376.00, GY: 3.00, GZ: 5645.00

AX: -0.78, AY: -0.66, AZ: -0.05, GX: -374.00, GY: -4.00, GZ: 5643.00

AX: -0.79, AY: -0.64, AZ: -0.06, GX: -375.00, GY: -2.00, GZ: 5638.00

AX: -0.82, AY: -0.61, AZ: -0.06, GX: -375.00, GY: -5.00, GZ: 5637.00

AX: -0.84, AY: -0.58, AZ: -0.06, GX: -375.00, GY: 0.00, GZ: 5636.00

AX: -0.85, AY: -0.57, AZ: -0.06, GX: -377.00, GY: 3.00, GZ: 5641.00

AX: -0.86, AY: -0.54, AZ: -0.06, GX: -377.00, GY: 2.00, GZ: 5644.00

AX: -0.88, AY: -0.51, AZ: -0.06, GX: -379.00, GY: 1.00, GZ: 5639.00

AX: -0.89, AY: -0.47, AZ: -0.06, GX: -374.00, GY: -2.00, GZ: 5632.00

AX: -0.90, AY: -0.45, AZ: -0.06, GX: -378.00, GY: -4.00, GZ: 5627.00

AX: -0.92, AY: -0.43, AZ: -0.07, GX: -376.00, GY: 2.00, GZ: 5618.00

AX: -0.93, AY: -0.40, AZ: -0.07, GX: -380.00, GY: -5.00, GZ: 5614.00

AX: -0.94, AY: -0.36, AZ: -0.07, GX: -376.00, GY: -2.00, GZ: 5610.00

AX: -0.95, AY: -0.34, AZ: -0.06, GX: -377.00, GY: -5.00, GZ: 5602.00

AX: -0.97, AY: -0.32, AZ: -0.07, GX: -377.00, GY: -4.00, GZ: 5593.00

AX: -0.96, AY: -0.28, AZ: -0.06, GX: -369.00, GY: -2.00, GZ: 5590.00

AX: -0.98, AY: -0.26, AZ: -0.07, GX: -376.00, GY: 1.00, GZ: 5596.00

AX: -0.98, AY: -0.23, AZ: -0.06, GX: -376.00, GY: 0.00, GZ: 5594.00

AX: -0.99, AY: -0.20, AZ: -0.07, GX: -370.00, GY: 3.00, GZ: 5596.00

AX: -0.99, AY: -0.17, AZ: -0.07, GX: -373.00, GY: 0.00, GZ: 5588.00

AX: -1.01, AY: -0.14, AZ: -0.07, GX: -376.00, GY: -1.00, GZ: 5584.00

AX: -0.99, AY: -0.11, AZ: -0.07, GX: -373.00, GY: -4.00, GZ: 5582.00

AX: -1.02, AY: -0.08, AZ: -0.07, GX: -378.00, GY: 0.00, GZ: 5578.00

AX: -1.00, AY: -0.05, AZ: -0.07, GX: -372.00, GY: -6.00, GZ: 5572.00

AX: -1.02, AY: -0.01, AZ: -0.07, GX: -377.00, GY: -2.00, GZ: 5571.00

AX: -0.99, AY: 0.00, AZ: -0.07, GX: -376.00, GY: -7.00, GZ: 5567.00

AX: -1.02, AY: 0.04, AZ: -0.07, GX: -380.00, GY: 0.00, GZ: 5562.00

AX: -1.00, AY: 0.07, AZ: -0.06, GX: -373.00, GY: -6.00, GZ: 5561.00

AX: -1.02, AY: 0.10, AZ: -0.07, GX: -372.00, GY: 1.00, GZ: 5576.00

AX: -0.99, AY: 0.12, AZ: -0.06, GX: -373.00, GY: -6.00, GZ: 5583.00

AX: -1.01, AY: 0.15, AZ: -0.07, GX: -380.00, GY: -5.00, GZ: 5586.00

AX: -0.98, AY: 0.18, AZ: -0.07, GX: -377.00, GY: -6.00, GZ: 5580.00

AX: -0.99, AY: 0.22, AZ: -0.08, GX: -379.00, GY: -3.00, GZ: 5582.00

AX: -0.96, AY: 0.24, AZ: -0.07, GX: -377.00, GY: -3.00, GZ: 5586.00

AX: -0.98, AY: 0.26, AZ: -0.08, GX: -379.00, GY: -1.00, GZ: 5586.00

AX: -0.96, AY: 0.30, AZ: -0.07, GX: -372.00, GY: -5.00, GZ: 5583.00

AX: -0.95, AY: 0.33, AZ: -0.07, GX: -376.00, GY: -2.00, GZ: 5588.00

AX: -0.93, AY: 0.35, AZ: -0.07, GX: -374.00, GY: -3.00, GZ: 5587.00

AX: -0.93, AY: 0.38, AZ: -0.07, GX: -381.00, GY: -3.00, GZ: 5584.00

AX: -0.91, AY: 0.41, AZ: -0.07, GX: -371.00, GY: -1.00, GZ: 5593.00

AX: -0.91, AY: 0.44, AZ: -0.07, GX: -377.00, GY: -1.00, GZ: 5601.00

AX: -0.88, AY: 0.46, AZ: -0.07, GX: -377.00, GY: 0.00, GZ: 5610.00

AX: -0.87, AY: 0.48, AZ: -0.07, GX: -383.00, GY: -4.00, GZ: 5609.00

AX: -0.86, AY: 0.52, AZ: -0.07, GX: -377.00, GY: -3.00, GZ: 5603.00

AX: -0.84, AY: 0.54, AZ: -0.06, GX: -378.00, GY: -3.00, GZ: 5609.00

AX: -0.83, AY: 0.56, AZ: -0.07, GX: -373.00, GY: -1.00, GZ: 5608.00

AX: -0.81, AY: 0.57, AZ: -0.07, GX: -378.00, GY: -2.00, GZ: 5606.00

AX: -0.79, AY: 0.62, AZ: -0.07, GX: -375.00, GY: -4.00, GZ: 5610.00

AX: -0.77, AY: 0.64, AZ: -0.07, GX: -372.00, GY: -3.00, GZ: 5608.00

AX: -0.75, AY: 0.65, AZ: -0.07, GX: -381.00, GY: -3.00, GZ: 5602.00

AX: -0.73, AY: 0.67, AZ: -0.07, GX: -379.00, GY: -4.00, GZ: 5599.00

AX: -0.70, AY: 0.70, AZ: -0.07, GX: -376.00, GY: -3.00, GZ: 5600.00

AX: -0.69, AY: 0.73, AZ: -0.06, GX: -378.00, GY: -4.00, GZ: 5612.00

AX: -0.66, AY: 0.73, AZ: -0.07, GX: -376.00, GY: -3.00, GZ: 5616.00

AX: -0.64, AY: 0.75, AZ: -0.06, GX: -377.00, GY: -1.00, GZ: 5613.00

AX: -0.62, AY: 0.78, AZ: -0.06, GX: -374.00, GY: -1.00, GZ: 5612.00

AX: -0.59, AY: 0.80, AZ: -0.06, GX: -372.00, GY: -4.00, GZ: 5612.00

AX: -0.57, AY: 0.80, AZ: -0.07, GX: -379.00, GY: 0.00, GZ: 5619.00

AX: -0.55, AY: 0.82, AZ: -0.06, GX: -381.00, GY: -2.00, GZ: 5615.00

AX: -0.52, AY: 0.85, AZ: -0.05, GX: -374.00, GY: -2.00, GZ: 5615.00

AX: -0.50, AY: 0.87, AZ: -0.06, GX: -372.00, GY: -5.00, GZ: 5617.00

AX: -0.47, AY: 0.87, AZ: -0.06, GX: -379.00, GY: -3.00, GZ: 5615.00

AX: -0.44, AY: 0.89, AZ: -0.05, GX: -379.00, GY: -8.00, GZ: 5617.00

AX: -0.41, AY: 0.90, AZ: -0.06, GX: -369.00, GY: -2.00, GZ: 5626.00

AX: -0.40, AY: 0.91, AZ: -0.05, GX: -376.00, GY: -2.00, GZ: 5637.00

AX: -0.35, AY: 0.91, AZ: -0.05, GX: -376.00, GY: -6.00, GZ: 5638.00

AX: -0.33, AY: 0.93, AZ: -0.06, GX: -379.00, GY: -2.00, GZ: 5639.00

AX: -0.30, AY: 0.95, AZ: -0.06, GX: -374.00, GY: -3.00, GZ: 5638.00

AX: -0.27, AY: 0.95, AZ: -0.05, GX: -372.00, GY: -4.00, GZ: 5644.00

AX: -0.25, AY: 0.95, AZ: -0.05, GX: -374.00, GY: -3.00, GZ: 5651.00

AX: -0.21, AY: 0.96, AZ: -0.05, GX: -380.00, GY: -4.00, GZ: 5653.00

AX: -0.18, AY: 0.97, AZ: -0.05, GX: -376.00, GY: -2.00, GZ: 5654.00

AX: -0.15, AY: 0.98, AZ: -0.05, GX: -376.00, GY: -7.00, GZ: 5653.00

AX: -0.13, AY: 0.98, AZ: -0.05, GX: -383.00, GY: -4.00, GZ: 5651.00

AX: -0.09, AY: 0.98, AZ: -0.05, GX: -379.00, GY: -3.00, GZ: 5658.00

AX: -0.06, AY: 0.99, AZ: -0.04, GX: -375.00, GY: -7.00, GZ: 5670.00

AX: -0.04, AY: 0.99, AZ: -0.04, GX: -378.00, GY: -2.00, GZ: 5679.00

AX: -0.01, AY: 0.98, AZ: -0.05, GX: -379.00, GY: 1.00, GZ: 5681.00

AX: 0.02, AY: 0.99, AZ: -0.05, GX: -377.00, GY: -2.00, GZ: 5678.00

AX: 0.05, AY: 0.98, AZ: -0.04, GX: -374.00, GY: -1.00, GZ: 5680.00

AX: 0.08, AY: 0.98, AZ: -0.04, GX: -380.00, GY: -7.00, GZ: 5681.00

AX: 0.11, AY: 0.97, AZ: -0.04, GX: -380.00, GY: -2.00, GZ: 5685.00

AX: 0.15, AY: 0.97, AZ: -0.04, GX: -375.00, GY: -3.00, GZ: 5688.00

AX: 0.18, AY: 0.96, AZ: -0.04, GX: -374.00, GY: -5.00, GZ: 5683.00

AX: 0.20, AY: 0.96, AZ: -0.04, GX: -382.00, GY: -6.00, GZ: 5678.00

AX: 0.24, AY: 0.95, AZ: -0.04, GX: -380.00, GY: -3.00, GZ: 5680.00

AX: 0.26, AY: 0.94, AZ: -0.03, GX: -374.00, GY: -2.00, GZ: 5685.00

