AX: 0.83, AY: -2.77, AZ: 0.00, GX: -2300.00, GY: 473.00, GZ: 32767.00

AX: 0.58, AY: -3.04, AZ: -0.01, GX: -2302.00, GY: 477.00, GZ: 32767.00

AX: 0.24, AY: -3.19, AZ: -0.02, GX: -2305.00, GY: 475.00, GZ: 32767.00

AX: -0.14, AY: -3.18, AZ: -0.03, GX: -2307.00, GY: 486.00, GZ: 32767.00

AX: -0.49, AY: -3.07, AZ: -0.04, GX: -2315.00, GY: 485.00, GZ: 32767.00

AX: -0.79, AY: -2.80, AZ: -0.04, GX: -2321.00, GY: 476.00, GZ: 32767.00

AX: -0.98, AY: -2.47, AZ: -0.05, GX: -2320.00, GY: 479.00, GZ: 32767.00

AX: -1.03, AY: -2.08, AZ: -0.06, GX: -2319.00, GY: 471.00, GZ: 32767.00

AX: -0.94, AY: -1.74, AZ: -0.06, GX: -2324.00, GY: 470.00, GZ: 32767.00

AX: -0.72, AY: -1.44, AZ: -0.05, GX: -2321.00, GY: 469.00, GZ: 32767.00

AX: -0.42, AY: -1.26, AZ: -0.04, GX: -2323.00, GY: 468.00, GZ: 32767.00

AX: -0.04, AY: -1.21, AZ: -0.04, GX: -2315.00, GY: 462.00, GZ: 32767.00

AX: 0.32, AY: -1.29, AZ: -0.03, GX: -2311.00, GY: 458.00, GZ: 32767.00

AX: 0.66, AY: -1.51, AZ: -0.00, GX: -2310.00, GY: 458.00, GZ: 32767.00

AX: 0.89, AY: -1.83, AZ: -0.00, GX: -2307.00, GY: 468.00, GZ: 32767.00

AX: 0.99, AY: -2.20, AZ: -0.00, GX: -2312.00, GY: 466.00, GZ: 32767.00

AX: 0.94, AY: -2.55, AZ: 0.00, GX: -2302.00, GY: 472.00, GZ: 32767.00

AX: 0.76, AY: -2.87, AZ: -0.00, GX: -2307.00, GY: 472.00, GZ: 32767.00

AX: 0.47, AY: -3.10, AZ: -0.01, GX: -2304.00, GY: 480.00, GZ: 32767.00

AX: 0.12, AY: -3.21, AZ: -0.02, GX: -2309.00, GY: 480.00, GZ: 32767.00

AX: -0.26, AY: -3.17, AZ: -0.04, GX: -2310.00, GY: 478.00, GZ: 32767.00

AX: -0.59, AY: -2.98, AZ: -0.03, GX: -2315.00, GY: 477.00, GZ: 32767.00

AX: -0.85, AY: -2.70, AZ: -0.05, GX: -2323.00, GY: 475.00, GZ: 32767.00

AX: -1.00, AY: -2.34, AZ: -0.05, GX: -2321.00, GY: 474.00, GZ: 32767.00

AX: -1.01, AY: -1.98, AZ: -0.06, GX: -2323.00, GY: 477.00, GZ: 32767.00

AX: -0.88, AY: -1.62, AZ: -0.05, GX: -2315.00, GY: 470.00, GZ: 32767.00

AX: -0.63, AY: -1.36, AZ: -0.04, GX: -2319.00, GY: 475.00, GZ: 32767.00

AX: -0.29, AY: -1.24, AZ: -0.04, GX: -2317.00, GY: 462.00, GZ: 32767.00

AX: 0.07, AY: -1.21, AZ: -0.04, GX: -2309.00, GY: 462.00, GZ: 32767.00

AX: 0.44, AY: -1.36, AZ: -0.02, GX: -2315.00, GY: 460.00, GZ: 32767.00

AX: 0.73, AY: -1.61, AZ: -0.00, GX: -2306.00, GY: 460.00, GZ: 32767.00

AX: 0.92, AY: -1.95, AZ: -0.01, GX: -2310.00, GY: 465.00, GZ: 32767.00

AX: 0.96, AY: -2.31, AZ: -0.02, GX: -2304.00, GY: 466.00, GZ: 32767.00

AX: 0.88, AY: -2.67, AZ: -0.01, GX: -2307.00, GY: 474.00, GZ: 32767.00

AX: 0.69, AY: -2.97, AZ: -0.01, GX: -2303.00, GY: 473.00, GZ: 32767.00

AX: 0.30, AY: -3.15, AZ: -0.01, GX: -2303.00, GY: 483.00, GZ: 32767.00

AX: -0.06, AY: -3.20, AZ: -0.02, GX: -2306.00, GY: 483.00, GZ: 32767.00

AX: -0.42, AY: -3.12, AZ: -0.03, GX: -2311.00, GY: 482.00, GZ: 32767.00

AX: -0.73, AY: -2.91, AZ: -0.05, GX: -2315.00, GY: 482.00, GZ: 32767.00

AX: -0.95, AY: -2.59, AZ: -0.06, GX: -2316.00, GY: 476.00, GZ: 32767.00

AX: -1.03, AY: -2.23, AZ: -0.06, GX: -2325.00, GY: 479.00, GZ: 32767.00

AX: -0.97, AY: -1.86, AZ: -0.05, GX: -2327.00, GY: 472.00, GZ: 32767.00

AX: -0.77, AY: -1.54, AZ: -0.06, GX: -2322.00, GY: 467.00, GZ: 32767.00

AX: -0.47, AY: -1.33, AZ: -0.05, GX: -2320.00, GY: 465.00, GZ: 32767.00

AX: -0.11, AY: -1.20, AZ: -0.04, GX: -2314.00, GY: 458.00, GZ: 32767.00

AX: 0.26, AY: -1.25, AZ: -0.02, GX: -2318.00, GY: 463.00, GZ: 32767.00

AX: 0.60, AY: -1.42, AZ: -0.02, GX: -2310.00, GY: 460.00, GZ: 32767.00

AX: 0.86, AY: -1.71, AZ: -0.01, GX: -2313.00, GY: 459.00, GZ: 32767.00

AX: 0.98, AY: -2.04, AZ: -0.00, GX: -2305.00, GY: 466.00, GZ: 32767.00

AX: 0.96, AY: -2.43, AZ: 0.00, GX: -2307.00, GY: 475.00, GZ: 32767.00

AX: 0.80, AY: -2.76, AZ: -0.00, GX: -2304.00, GY: 477.00, GZ: 32767.00

AX: 0.53, AY: -3.02, AZ: -0.01, GX: -2300.00, GY: 478.00, GZ: 32767.00

AX: 0.19, AY: -3.18, AZ: -0.03, GX: -2307.00, GY: 483.00, GZ: 32767.00

AX: -0.19, AY: -3.20, AZ: -0.03, GX: -2314.00, GY: 484.00, GZ: 32767.00

AX: -0.54, AY: -3.07, AZ: -0.04, GX: -2316.00, GY: 479.00, GZ: 32767.00

AX: -0.83, AY: -2.82, AZ: -0.05, GX: -2319.00, GY: 481.00, GZ: 32767.00

AX: -0.99, AY: -2.49, AZ: -0.05, GX: -2318.00, GY: 474.00, GZ: 32767.00

AX: -1.03, AY: -2.11, AZ: -0.05, GX: -2322.00, GY: 473.00, GZ: 32767.00

AX: -0.91, AY: -1.67, AZ: -0.07, GX: -2318.00, GY: 471.00, GZ: 32767.00

AX: -0.68, AY: -1.42, AZ: -0.05, GX: -2324.00, GY: 469.00, GZ: 32767.00

AX: -0.36, AY: -1.23, AZ: -0.05, GX: -2316.00, GY: 467.00, GZ: 32767.00

AX: 0.02, AY: -1.21, AZ: -0.03, GX: -2311.00, GY: 461.00, GZ: 32767.00

AX: 0.38, AY: -1.32, AZ: -0.02, GX: -2306.00, GY: 458.00, GZ: 32767.00

AX: 0.70, AY: -1.56, AZ: -0.01, GX: -2313.00, GY: 460.00, GZ: 32767.00

AX: 0.90, AY: -1.87, AZ: -0.00, GX: -2306.00, GY: 468.00, GZ: 32767.00

AX: 0.98, AY: -2.25, AZ: 0.00, GX: -2305.00, GY: 471.00, GZ: 32767.00

AX: 0.92, AY: -2.62, AZ: -0.00, GX: -2310.00, GY: 469.00, GZ: 32767.00

AX: 0.71, AY: -2.92, AZ: -0.00, GX: -2305.00, GY: 476.00, GZ: 32767.00

AX: 0.43, AY: -3.13, AZ: -0.02, GX: -2308.00, GY: 479.00, GZ: 32767.00

