AX: -0.80, AY: -2.24, AZ: -0.02, GX: -2605.00, GY: 571.00, GZ: 32767.00

AX: -0.44, AY: -2.03, AZ: -0.04, GX: -2606.00, GY: 568.00, GZ: 32767.00

AX: 0.02, AY: -1.99, AZ: -0.01, GX: -2593.00, GY: 561.00, GZ: 32767.00

AX: 0.42, AY: -2.15, AZ: 0.01, GX: -2596.00, GY: 562.00, GZ: 32767.00

AX: 0.72, AY: -2.47, AZ: 0.02, GX: -2596.00, GY: 562.00, GZ: 32767.00

AX: 0.89, AY: -2.85, AZ: -0.01, GX: -2584.00, GY: 570.00, GZ: 32767.00

AX: 0.95, AY: -3.30, AZ: -0.04, GX: -2589.00, GY: 575.00, GZ: 32767.00

AX: 0.75, AY: -3.69, AZ: 0.00, GX: -2601.00, GY: 583.00, GZ: 32767.00

AX: 0.37, AY: -3.91, AZ: 0.01, GX: -2590.00, GY: 576.00, GZ: 32767.00

AX: -0.04, AY: -3.96, AZ: -0.02, GX: -2583.00, GY: 576.00, GZ: 32767.00

AX: -0.43, AY: -3.84, AZ: -0.03, GX: -2588.00, GY: 587.00, GZ: 32767.00

AX: -0.79, AY: -3.58, AZ: -0.07, GX: -2602.00, GY: 591.00, GZ: 32767.00

AX: -1.04, AY: -3.18, AZ: -0.07, GX: -2610.00, GY: 582.00, GZ: 32767.00

AX: -1.06, AY: -2.77, AZ: -0.03, GX: -2615.00, GY: 572.00, GZ: 32767.00

AX: -0.88, AY: -2.37, AZ: -0.03, GX: -2613.00, GY: 578.00, GZ: 32767.00

AX: -0.57, AY: -2.09, AZ: -0.06, GX: -2609.00, GY: 570.00, GZ: 32767.00

AX: -0.16, AY: -1.99, AZ: -0.04, GX: -2600.00, GY: 554.00, GZ: 32767.00

AX: 0.26, AY: -2.05, AZ: -0.03, GX: -2591.00, GY: 562.00, GZ: 32767.00

AX: 0.67, AY: -2.32, AZ: -0.02, GX: -2595.00, GY: 565.00, GZ: 32767.00

AX: 0.90, AY: -2.71, AZ: 0.02, GX: -2595.00, GY: 570.00, GZ: 32767.00

AX: 0.92, AY: -3.15, AZ: 0.02, GX: -2588.00, GY: 569.00, GZ: 32767.00

AX: 0.79, AY: -3.54, AZ: -0.03, GX: -2586.00, GY: 575.00, GZ: 32767.00

AX: 0.55, AY: -3.84, AZ: -0.03, GX: -2590.00, GY: 588.00, GZ: 32767.00

AX: 0.14, AY: -3.99, AZ: -0.01, GX: -2599.00, GY: 580.00, GZ: 32767.00

AX: -0.34, AY: -3.93, AZ: -0.02, GX: -2597.00, GY: 574.00, GZ: 32767.00

AX: -0.69, AY: -3.68, AZ: -0.02, GX: -2594.00, GY: 581.00, GZ: 32767.00

AX: -0.93, AY: -3.33, AZ: -0.07, GX: -2601.00, GY: 583.00, GZ: 32767.00

AX: -1.05, AY: -2.90, AZ: -0.06, GX: -2615.00, GY: 573.00, GZ: 32767.00

AX: -0.99, AY: -2.48, AZ: -0.02, GX: -2606.00, GY: 574.00, GZ: 32767.00

AX: -0.69, AY: -2.16, AZ: -0.03, GX: -2601.00, GY: 571.00, GZ: 32767.00

AX: -0.29, AY: -2.01, AZ: -0.04, GX: -2605.00, GY: 561.00, GZ: 32767.00

AX: 0.11, AY: -2.03, AZ: -0.04, GX: -2603.00, GY: 561.00, GZ: 32767.00

AX: 0.49, AY: -2.22, AZ: -0.04, GX: -2596.00, GY: 559.00, GZ: 32767.00

AX: 0.90, AY: -2.54, AZ: -0.02, GX: -2589.00, GY: 563.00, GZ: 32767.00

AX: 0.95, AY: -2.99, AZ: 0.03, GX: -2597.00, GY: 572.00, GZ: 32767.00

